Player,GP,W%,SCPG,GPG,APG,SAPG,SHPG,Rating,Country
Sypical,411,"
    62.04%
  ","
    413.74
  ","
    0.77
  ","
    0.56
  ","
    1.84
  ","
    3.04
  ",1.07,us
Gaspow,4,"
    25.00%
  ","
    280.50
  ","
    0.75
  ","
    0.50
  ","
    0.75
  ","
    2.00
  ",1.07,fr
Markydooda,297,"
    58.92%
  ","
    260.13
  ","
    0.90
  ","
    0.62
  ","
    1.27
  ","
    3.23
  ",1.07,gb
valt,213,"
    60.56%
  ","
    389.37
  ","
    0.69
  ","
    0.68
  ","
    1.66
  ","
    2.97
  ",1.07,br
grumpz,11,"
    27.27%
  ","
    400.82
  ","
    0.91
  ","
    0.27
  ","
    1.91
  ","
    3.00
  ",1.07,int
Freveo,3,"
    0.00%
  ","
    432.33
  ","
    0.67
  ","
    0.33
  ","
    2.00
  ","
    4.33
  ",1.07,int
Lim,53,"
    37.74%
  ","
    357.64
  ","
    0.75
  ","
    0.60
  ","
    1.72
  ","
    2.47
  ",1.07,au
Maestro,231,"
    55.41%
  ","
    270.39
  ","
    0.92
  ","
    0.52
  ","
    1.35
  ","
    3.16
  ",1.07,dk
SppydeR,22,"
    45.45%
  ","
    391.32
  ","
    0.68
  ","
    0.50
  ","
    1.50
  ","
    3.68
  ",1.06,br
Zayd,111,"
    46.85%
  ","
    394.94
  ","
    0.84
  ","
    0.50
  ","
    1.59
  ","
    2.90
  ",1.06,au
oath,21,"
    52.38%
  ","
    427.62
  ","
    0.76
  ","
    0.52
  ","
    2.14
  ","
    2.43
  ",1.06,int
Radosin75,17,"
    47.06%
  ","
    415.82
  ","
    0.59
  ","
    0.71
  ","
    2.18
  ","
    2.65
  ",1.06,fr
Madssssss,54,"
    53.70%
  ","
    399.13
  ","
    0.89
  ","
    0.59
  ","
    1.50
  ","
    3.09
  ",1.06,dk
Skyzz,21,"
    52.38%
  ","
    438.24
  ","
    0.57
  ","
    0.71
  ","
    2.38
  ","
    2.43
  ",1.06,us
Kaydop,832,"
    61.78%
  ","
    349.12
  ","
    0.74
  ","
    0.58
  ","
    1.73
  ","
    2.88
  ",1.06,fr
Evample,3,"
    0.00%
  ","
    240.67
  ","
    0.67
  ","
    0.33
  ","
    0.67
  ","
    2.67
  ",1.06,int
Shotts,24,"
    45.83%
  ","
    384.38
  ","
    1.00
  ","
    0.50
  ","
    1.33
  ","
    2.63
  ",1.06,gb
Tossis,4,"
    25.00%
  ","
    324.25
  ","
    1.00
  ","
    0.75
  ","
    0.75
  ","
    3.00
  ",1.06,int
Express,408,"
    61.76%
  ","
    326.70
  ","
    0.76
  ","
    0.70
  ","
    1.35
  ","
    2.55
  ",1.06,au
Percy,209,"
    46.89%
  ","
    418.22
  ","
    0.78
  ","
    0.48
  ","
    2.09
  ","
    2.88
  ",1.05,us
ejby,14,"
    35.71%
  ","
    470.07
  ","
    0.86
  ","
    0.50
  ","
    1.93
  ","
    2.64
  ",1.05,int
Porklet,56,"
    41.07%
  ","
    381.96
  ","
    0.77
  ","
    0.50
  ","
    1.77
  ","
    2.34
  ",1.05,us
Blackstrike,5,"
    60.00%
  ","
    344.00
  ","
    0.60
  ","
    1.40
  ","
    1.00
  ","
    1.60
  ",1.05,int
AztraL,365,"
    56.16%
  ","
    414.07
  ","
    0.68
  ","
    0.64
  ","
    1.73
  ","
    3.16
  ",1.05,be
Squishy,582,"
    63.92%
  ","
    351.04
  ","
    0.74
  ","
    0.64
  ","
    1.46
  ","
    2.83
  ",1.05,ca
Fiberr,94,"
    58.51%
  ","
    398.36
  ","
    0.77
  ","
    0.57
  ","
    1.50
  ","
    2.99
  ",1.05,int
Atomic,380,"
    59.47%
  ","
    386.22
  ","
    0.70
  ","
    0.71
  ","
    1.47
  ","
    2.77
  ",1.05,us
Vince,55,"
    40.00%
  ","
    262.09
  ","
    0.78
  ","
    0.55
  ","
    1.38
  ","
    2.71
  ",1.05,us
Comm,70,"
    41.43%
  ","
    414.64
  ","
    0.57
  ","
    0.66
  ","
    2.17
  ","
    2.70
  ",1.04,us
eekso,223,"
    49.78%
  ","
    398.42
  ","
    0.80
  ","
    0.53
  ","
    1.70
  ","
    3.22
  ",1.04,gb
Breezi,207,"
    48.79%
  ","
    407.12
  ","
    0.75
  ","
    0.66
  ","
    1.55
  ","
    3.11
  ",1.04,gb
Desi,4,"
    25.00%
  ","
    361.25
  ","
    1.00
  ","
    0.50
  ","
    2.00
  ","
    2.75
  ",1.04,int
Walcott,256,"
    44.53%
  ","
    364.42
  ","
    0.75
  ","
    0.53
  ","
    1.79
  ","
    2.60
  ",1.04,au
Gimmick,488,"
    54.51%
  ","
    341.54
  ","
    0.78
  ","
    0.56
  ","
    1.44
  ","
    2.74
  ",1.04,us
FreaKii,386,"
    52.07%
  ","
    364.73
  ","
    0.69
  ","
    0.53
  ","
    1.93
  ","
    3.09
  ",1.04,de
Fever,136,"
    55.88%
  ","
    388.40
  ","
    0.74
  ","
    0.65
  ","
    1.40
  ","
    3.02
  ",1.04,au
Macca,9,"
    33.33%
  ","
    364.56
  ","
    1.00
  ","
    0.56
  ","
    1.33
  ","
    2.89
  ",1.04,int
Confusion,8,"
    25.00%
  ","
    377.50
  ","
    0.50
  ","
    0.88
  ","
    1.88
  ","
    2.38
  ",1.04,int
EPICJonny,28,"
    25.00%
  ","
    258.04
  ","
    0.71
  ","
    0.46
  ","
    1.82
  ","
    2.68
  ",1.04,ca
Nielskoek,89,"
    37.08%
  ","
    271.46
  ","
    0.79
  ","
    0.55
  ","
    1.65
  ","
    2.91
  ",1.04,nl
mist,401,"
    59.85%
  ","
    394.24
  ","
    0.73
  ","
    0.50
  ","
    1.85
  ","
    3.06
  ",1.04,us
Bango,129,"
    38.76%
  ","
    289.21
  ","
    0.82
  ","
    0.43
  ","
    1.56
  ","
    2.72
  ",1.03,au
Juan,117,"
    49.57%
  ","
    378.73
  ","
    0.62
  ","
    0.62
  ","
    1.68
  ","
    2.97
  ",1.03,br
Bell,13,"
    30.77%
  ","
    239.69
  ","
    0.69
  ","
    0.62
  ","
    1.38
  ","
    1.69
  ",1.03,us
ThO,288,"
    50.69%
  ","
    409.13
  ","
    0.73
  ","
    0.55
  ","
    1.61
  ","
    3.51
  ",1.03,nl
Fireburner,412,"
    60.92%
  ","
    267.58
  ","
    0.79
  ","
    0.62
  ","
    1.39
  ","
    2.74
  ",1.03,us
KennySalmon,136,"
    47.79%
  ","
    402.57
  ","
    0.71
  ","
    0.64
  ","
    1.73
  ","
    2.49
  ",1.03,au
Fairy Peak,701,"
    60.63%
  ","
    358.26
  ","
    0.71
  ","
    0.54
  ","
    1.77
  ","
    2.60
  ",1.03,fr
Kamii,439,"
    59.00%
  ","
    326.41
  ","
    0.65
  ","
    0.74
  ","
    1.40
  ","
    2.60
  ",1.03,nz
Decka,304,"
    60.86%
  ","
    343.54
  ","
    0.80
  ","
    0.59
  ","
    1.29
  ","
    2.78
  ",1.02,au
creamyy,8,"
    37.50%
  ","
    338.88
  ","
    0.75
  ","
    0.75
  ","
    1.25
  ","
    3.00
  ",1.02,int
Speed,346,"
    50.87%
  ","
    405.34
  ","
    0.68
  ","
    0.55
  ","
    1.82
  ","
    2.95
  ",1.02,gb
kuxir97,702,"
    55.27%
  ","
    326.93
  ","
    0.79
  ","
    0.55
  ","
    1.45
  ","
    3.14
  ",1.02,it
Beni,3,"
    0.00%
  ","
    368.33
  ","
    0.33
  ","
    1.00
  ","
    2.00
  ","
    2.33
  ",1.02,int
PJ,225,"
    57.33%
  ","
    368.43
  ","
    0.68
  ","
    0.64
  ","
    1.26
  ","
    2.82
  ",1.02,br
Hibbs,207,"
    48.79%
  ","
    407.58
  ","
    0.77
  ","
    0.50
  ","
    1.95
  ","
    2.78
  ",1.02,gb
rise,93,"
    48.39%
  ","
    403.61
  ","
    0.80
  ","
    0.56
  ","
    1.69
  ","
    2.95
  ",1.02,gb
baileym8,8,"
    25.00%
  ","
    321.00
  ","
    0.63
  ","
    0.38
  ","
    0.88
  ","
    3.00
  ",1.02,au
Riv,109,"
    42.20%
  ","
    358.36
  ","
    0.78
  ","
    0.46
  ","
    1.38
  ","
    2.50
  ",1.02,au
hoodied,5,"
    40.00%
  ","
    338.60
  ","
    0.60
  ","
    1.00
  ","
    1.40
  ","
    3.40
  ",1.02,int
Cobbo,112,"
    47.32%
  ","
    393.60
  ","
    0.72
  ","
    0.44
  ","
    2.05
  ","
    2.46
  ",1.01,au
Jbot,64,"
    42.19%
  ","
    391.41
  ","
    0.75
  ","
    0.47
  ","
    1.72
  ","
    2.97
  ",1.01,int
Stake,289,"
    60.21%
  ","
    387.59
  ","
    0.87
  ","
    0.48
  ","
    1.51
  ","
    2.96
  ",1.01,es
PAN,101,"
    33.66%
  ","
    372.50
  ","
    0.75
  ","
    0.42
  ","
    1.58
  ","
    3.01
  ",1.01,cl
Le Duck,198,"
    43.43%
  ","
    355.32
  ","
    0.68
  ","
    0.60
  ","
    1.55
  ","
    2.64
  ",1.01,au
Moss,48,"
    45.83%
  ","
    370.38
  ","
    0.67
  ","
    0.65
  ","
    1.67
  ","
    2.67
  ",1.01,int
Myrtle,3,"
    0.00%
  ","
    428.33
  ","
    0.33
  ","
    0.67
  ","
    3.33
  ","
    2.33
  ",1.01,int
NumBy,7,"
    28.57%
  ","
    361.86
  ","
    1.00
  ","
    0.43
  ","
    1.14
  ","
    3.14
  ",1.01,int
Cheery,9,"
    33.33%
  ","
    317.78
  ","
    0.67
  ","
    0.56
  ","
    1.00
  ","
    2.78
  ",1.01,int
WondaMike,196,"
    45.41%
  ","
    397.95
  ","
    0.71
  ","
    0.48
  ","
    1.74
  ","
    3.18
  ",1.01,us
Bambii,64,"
    42.19%
  ","
    390.52
  ","
    0.69
  ","
    0.61
  ","
    1.56
  ","
    2.66
  ",1.01,us
Snowy,93,"
    58.06%
  ","
    357.39
  ","
    0.84
  ","
    0.57
  ","
    1.31
  ","
    2.60
  ",1.01,int
Ekon,91,"
    46.15%
  ","
    422.02
  ","
    0.74
  ","
    0.44
  ","
    2.08
  ","
    3.12
  ",1.01,fr
Juuksey,34,"
    14.71%
  ","
    251.03
  ","
    0.74
  ","
    0.41
  ","
    2.09
  ","
    2.44
  ",1.01,gb
HotWheelsSid,52,"
    34.62%
  ","
    234.62
  ","
    0.77
  ","
    0.58
  ","
    1.00
  ","
    2.77
  ",1.01,ca
RelatingWave,280,"
    48.93%
  ","
    395.93
  ","
    0.69
  ","
    0.60
  ","
    1.68
  ","
    2.83
  ",1.01,gb
Blurry,60,"
    46.67%
  ","
    388.47
  ","
    0.75
  ","
    0.57
  ","
    1.40
  ","
    3.43
  ",1.00,gb
Hooups,33,"
    42.42%
  ","
    415.24
  ","
    0.55
  ","
    0.58
  ","
    2.24
  ","
    2.61
  ",1.00,fr
Shock,180,"
    47.22%
  ","
    408.46
  ","
    0.73
  ","
    0.42
  ","
    1.87
  ","
    2.82
  ",1.00,us
AYYJAYY,418,"
    51.44%
  ","
    382.34
  ","
    0.73
  ","
    0.43
  ","
    1.68
  ","
    2.94
  ",1.00,us
Zaphare,35,"
    40.00%
  ","
    385.40
  ","
    0.74
  ","
    0.43
  ","
    1.94
  ","
    2.74
  ",1.00,ch
AtomiK,101,"
    52.48%
  ","
    414.35
  ","
    0.85
  ","
    0.34
  ","
    1.87
  ","
    3.55
  ",1.00,es
Misty,159,"
    43.40%
  ","
    383.79
  ","
    0.70
  ","
    0.45
  ","
    1.67
  ","
    2.63
  ",1.00,my
Bal,27,"
    25.93%
  ","
    370.00
  ","
    0.78
  ","
    0.37
  ","
    1.67
  ","
    2.22
  ",1.00,int
Rexo,22,"
    36.36%
  ","
    425.41
  ","
    0.73
  ","
    0.45
  ","
    2.09
  ","
    2.82
  ",1.00,int
MaJicBear,195,"
    49.23%
  ","
    386.92
  ","
    0.72
  ","
    0.57
  ","
    1.68
  ","
    2.86
  ",1.00,us
Droppz,100,"
    47.00%
  ","
    403.45
  ","
    0.60
  ","
    0.48
  ","
    2.05
  ","
    2.84
  ",1.00,br
Mikeboy,185,"
    41.62%
  ","
    397.94
  ","
    0.72
  ","
    0.54
  ","
    1.83
  ","
    2.53
  ",1.00,nl
SavvySeal,16,"
    37.50%
  ","
    359.25
  ","
    0.75
  ","
    0.63
  ","
    1.06
  ","
    3.88
  ",1.00,us
Lj,115,"
    45.22%
  ","
    396.57
  ","
    0.63
  ","
    0.57
  ","
    1.80
  ","
    2.77
  ",1.00,us
Sosa,178,"
    41.01%
  ","
    388.26
  ","
    0.75
  ","
    0.46
  ","
    1.71
  ","
    2.85
  ",1.00,ca
Matro,87,"
    51.72%
  ","
    367.29
  ","
    0.82
  ","
    0.54
  ","
    1.31
  ","
    2.92
  ",0.99,int
Jayyyrah,37,"
    51.35%
  ","
    222.97
  ","
    0.70
  ","
    0.65
  ","
    1.35
  ","
    2.03
  ",0.99,us
shadey,225,"
    56.89%
  ","
    287.83
  ","
    0.72
  ","
    0.52
  ","
    1.34
  ","
    2.57
  ",0.99,au
Enlid,31,"
    29.03%
  ","
    381.26
  ","
    0.52
  ","
    0.65
  ","
    2.00
  ","
    2.10
  ",0.99,int
